Month|Views of page Blau|Views of page Braun|Views of page Grün|Views of page Rot|Views of page Schwarz|Views of page Weiß|Total|Percentage
201608|178|103|87|148|183|138|837|5.8
201607|191|75|147|187|190|147|937|6.5
201606|191|79|174|183|195|143|965|6.7
201605|253|78|143|214|193|145|1026|7.1
201604|165|86|136|167|268|132|954|6.6
201603|220|123|216|197|330|142|1228|8.5
201602|183|148|179|187|193|148|1038|7.2
201601|233|128|167|198|259|165|1150|8
201512|228|153|165|236|232|132|1146|7.9
201511|182|135|139|186|175|133|950|6.6
201510|271|120|143|170|288|128|1120|7.8
201509|209|107|153|196|219|124|1008|7
201508|197|107|173|220|193|142|1032|7.2
201507|206|136|127|241|179|148|1037|7.2
201506|0|0|0|0|0|0|0|0
201505|0|0|0|0|0|0|0|0
201504|0|0|0|0|0|0|0|0
201503|0|0|0|0|0|0|0|0
201502|0|0|0|0|0|0|0|0
201501|0|0|0|0|0|0|0|0
201412|0|0|0|0|0|0|0|0
201411|0|0|0|0|0|0|0|0
201410|0|0|0|0|0|0|0|0
201409|0|0|0|0|0|0|0|0
201408|0|0|0|0|0|0|0|0
201407|0|0|0|0|0|0|0|0
201406|0|0|0|0|0|0|0|0
201405|0|0|0|0|0|0|0|0
201404|0|0|0|0|0|0|0|0
201403|0|0|0|0|0|0|0|0
201402|0|0|0|0|0|0|0|0
201401|0|0|0|0|0|0|0|0
201312|0|0|0|0|0|0|0|0
201311|0|0|0|0|0|0|0|0
201310|0|0|0|0|0|0|0|0
201309|0|0|0|0|0|0|0|0
201308|0|0|0|0|0|0|0|0
201307|0|0|0|0|0|0|0|0
201306|0|0|0|0|0|0|0|0
201305|0|0|0|0|0|0|0|0
201304|0|0|0|0|0|0|0|0
201303|0|0|0|0|0|0|0|0
201302|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0
Total|2907|1578|2149|2730|3097|196714428|100
Percentage|20.1|10.9|14.9|18.9|21.5|13.6|100
