Month,Views of page Blanc,Views of page Bleu,Views of page Brun (couleur),Views of page Noir,Views of page Rose (couleur),Views of page Rouge,Views of page Vert,Total,Percentage
201608,39,81,14,41,29,43,41,288,5.2
201607,60,93,29,42,28,57,40,349,6.3
201606,48,65,29,41,42,57,36,318,5.7
201605,62,106,19,64,34,55,49,389,7
201604,45,75,17,36,26,52,57,308,5.6
201603,64,508,22,75,36,72,66,843,15.2
201602,62,73,25,49,22,57,52,340,6.1
201601,55,92,29,63,32,79,56,406,7.3
201512,56,91,16,71,34,63,71,402,7.2
201511,61,111,29,66,61,70,55,453,8.2
201510,45,77,28,65,29,57,40,341,6.1
201509,57,128,19,37,25,55,38,359,6.5
201508,56,99,26,64,34,72,54,405,7.3
201507,50,86,23,51,22,73,40,345,6.2
201506,0,0,0,0,0,0,0,0,0
201505,0,0,0,0,0,0,0,0,0
201504,0,0,0,0,0,0,0,0,0
201503,0,0,0,0,0,0,0,0,0
201502,0,0,0,0,0,0,0,0,0
201501,0,0,0,0,0,0,0,0,0
201412,0,0,0,0,0,0,0,0,0
201411,0,0,0,0,0,0,0,0,0
201410,0,0,0,0,0,0,0,0,0
201409,0,0,0,0,0,0,0,0,0
201408,0,0,0,0,0,0,0,0,0
201407,0,0,0,0,0,0,0,0,0
201406,0,0,0,0,0,0,0,0,0
201405,0,0,0,0,0,0,0,0,0
201404,0,0,0,0,0,0,0,0,0
201403,0,0,0,0,0,0,0,0,0
201402,0,0,0,0,0,0,0,0,0
201401,0,0,0,0,0,0,0,0,0
201312,0,0,0,0,0,0,0,0,0
201311,0,0,0,0,0,0,0,0,0
201310,0,0,0,0,0,0,0,0,0
201309,0,0,0,0,0,0,0,0,0
201308,0,0,0,0,0,0,0,0,0
201307,0,0,0,0,0,0,0,0,0
201306,0,0,0,0,0,0,0,0,0
201305,0,0,0,0,0,0,0,0,0
201304,0,0,0,0,0,0,0,0,0
201303,0,0,0,0,0,0,0,0,0
201302,0,0,0,0,0,0,0,0,0
201301,0,0,0,0,0,0,0,0,0
201212,0,0,0,0,0,0,0,0,0
201211,0,0,0,0,0,0,0,0,0
201210,0,0,0,0,0,0,0,0,0
201209,0,0,0,0,0,0,0,0,0
201208,0,0,0,0,0,0,0,0,0
201207,0,0,0,0,0,0,0,0,0
201206,0,0,0,0,0,0,0,0,0
201205,0,0,0,0,0,0,0,0,0
201204,0,0,0,0,0,0,0,0,0
201203,0,0,0,0,0,0,0,0,0
201202,0,0,0,0,0,0,0,0,0
201201,0,0,0,0,0,0,0,0,0
201112,0,0,0,0,0,0,0,0,0
201111,0,0,0,0,0,0,0,0,0
201110,0,0,0,0,0,0,0,0,0
201109,0,0,0,0,0,0,0,0,0
201108,0,0,0,0,0,0,0,0,0
201107,0,0,0,0,0,0,0,0,0
201106,0,0,0,0,0,0,0,0,0
201105,0,0,0,0,0,0,0,0,0
201104,0,0,0,0,0,0,0,0,0
201103,0,0,0,0,0,0,0,0,0
201102,0,0,0,0,0,0,0,0,0
201101,0,0,0,0,0,0,0,0,0
201012,0,0,0,0,0,0,0,0,0
201011,0,0,0,0,0,0,0,0,0
201010,0,0,0,0,0,0,0,0,0
201009,0,0,0,0,0,0,0,0,0
201008,0,0,0,0,0,0,0,0,0
201007,0,0,0,0,0,0,0,0,0
201006,0,0,0,0,0,0,0,0,0
201005,0,0,0,0,0,0,0,0,0
201004,0,0,0,0,0,0,0,0,0
201003,0,0,0,0,0,0,0,0,0
201002,0,0,0,0,0,0,0,0,0
201001,0,0,0,0,0,0,0,0,0
200912,0,0,0,0,0,0,0,0,0
200911,0,0,0,0,0,0,0,0,0
200910,0,0,0,0,0,0,0,0,0
200909,0,0,0,0,0,0,0,0,0
200908,0,0,0,0,0,0,0,0,0
200907,0,0,0,0,0,0,0,0,0
200906,0,0,0,0,0,0,0,0,0
200905,0,0,0,0,0,0,0,0,0
200904,0,0,0,0,0,0,0,0,0
200903,0,0,0,0,0,0,0,0,0
200902,0,0,0,0,0,0,0,0,0
200901,0,0,0,0,0,0,0,0,0
200812,0,0,0,0,0,0,0,0,0
200811,0,0,0,0,0,0,0,0,0
200810,0,0,0,0,0,0,0,0,0
200809,0,0,0,0,0,0,0,0,0
200808,0,0,0,0,0,0,0,0,0
200807,0,0,0,0,0,0,0,0,0
200806,0,0,0,0,0,0,0,0,0
200805,0,0,0,0,0,0,0,0,0
200804,0,0,0,0,0,0,0,0,0
200803,0,0,0,0,0,0,0,0,0
200802,0,0,0,0,0,0,0,0,0
200801,0,0,0,0,0,0,0,0,0
200712,0,0,0,0,0,0,0,0,0
Total,760,1685,325,765,454,862,6955546,100
Percentage,13.7,30.4,5.9,13.8,8.2,15.5,12.5,100
